job_title,agency,years_experience,annual_salary
Project Manager,Health Department,18,107038.38
Traffic Engineer,Department of Recreation,18,96898.25
Administrative Officer,Department of Aging,24,79550.7
Engineer,Environmental Control Board,21,112159.58
Social Worker,Human Resources,30,85403.36
Librarian,Health Department,16,74285.96
Librarian,Fire Department,22,79688.69
Community Liaison,Health Department,31,88500.17
Correctional Officer,Fire Department,9,62307.07
Firefighter,Baltimore City Courts,9,71814.2
Police Officer,Fire Department,35,110460.69
Librarian,Health Department,7,58844.18
Urban Planner,Public Works,19,94565.81
Budget Analyst,Department of Housing,31,107289.99
Budget Analyst,Department of Education,13,87395.17
Sanitation Worker,Department of Recreation,27,77845.89
Sanitation Worker,Department of Transportation,23,79301.45
Engineer,Office of the Mayor,14,101606.0
Inspector,Department of Aging,21,83533.29
Librarian,IT Department,29,82895.97
Librarian,Baltimore City Courts,3,57053.34
Engineer,Police Department,12,100785.0
Community Liaison,Department of Transportation,22,74023.37
Police Officer,IT Department,7,66691.01
Community Liaison,Health Department,17,71632.29
Project Manager,Planning Department,11,102639.59
Correctional Officer,Department of Education,30,95008.21
IT Specialist,Department of Recreation,13,101471.52
Data Analyst,Department of Social Services,33,117519.5
Public Health Nurse,Department of Social Services,17,88858.48
IT Specialist,Fire Department,33,116158.03
Community Liaison,Department of Finance,10,61062.73
Engineer,Department of Finance,11,98681.73
Librarian,Public Works,14,68959.92
Engineer,Office of the Mayor,30,126170.4
Traffic Engineer,Human Resources,28,111097.26
Financial Analyst,Baltimore City Courts,25,111595.6
Traffic Engineer,Department of Social Services,17,94280.32
Firefighter,Department of Housing,31,100000.02
Engineer,Fire Department,21,107478.98
Librarian,Department of Housing,37,96939.49
Sanitation Worker,Public Works,16,68662.24
Data Analyst,Environmental Control Board,22,103750.64
Police Officer,Fire Department,23,90709.14
Data Analyst,Department of Transportation,7,79844.11
Police Officer,Department of Finance,5,74431.51
Financial Analyst,Department of Finance,4,88009.9
Librarian,Police Department,28,86882.85
Community Liaison,IT Department,27,77715.94
IT Specialist,Department of Recreation,10,96139.52
Social Worker,Health Department,0,53604.35
Engineer,Office of the Mayor,18,105733.61
Correctional Officer,Baltimore City Courts,8,64392.14
Police Officer,City Council,26,90839.16
Librarian,Department of Education,33,95072.04
Urban Planner,Department of Transportation,3,82459.79
Inspector,Department of Social Services,35,101503.42
Financial Analyst,Planning Department,17,100361.85
Public Health Nurse,Department of Education,14,85668.87
Public Health Nurse,Department of Education,12,83351.16
Legal Counsel,Department of Recreation,18,113000.42
Inspector,Human Resources,5,65123.23
IT Specialist,Police Department,11,93659.31
Firefighter,Department of Finance,36,108254.47
Police Officer,IT Department,16,84242.73
HR Specialist,City Council,22,86670.94
Police Officer,Department of Recreation,25,96060.64
Budget Analyst,Police Department,28,104832.21
Librarian,City Council,32,94511.23
Inspector,Department of Finance,26,95488.37
Data Analyst,Baltimore City Courts,24,111193.36
Engineer,Department of Finance,9,94115.24
Correctional Officer,Department of Recreation,22,90369.57
Correctional Officer,Department of Finance,20,83052.83
Urban Planner,Environmental Control Board,20,103879.14
Financial Analyst,Environmental Control Board,12,94892.14
Public Health Nurse,Department of Recreation,36,112304.21
Engineer,Baltimore City Courts,32,124222.08
Sanitation Worker,Baltimore City Courts,23,76055.63
Budget Analyst,Public Works,10,87764.44
Correctional Officer,Department of Recreation,16,76503.61
Financial Analyst,Department of Aging,3,89093.84
Engineer,Department of Social Services,24,115996.7
Police Officer,Fire Department,29,99159.82
Community Liaison,Human Resources,8,61564.03
Police Officer,Department of Finance,20,87580.2
Engineer,Police Department,19,114850.62
Traffic Engineer,Department of Transportation,18,89607.0
Administrative Officer,Public Works,18,78618.83
Engineer,Department of Finance,11,92906.21
IT Specialist,Department of Finance,36,122523.03
Financial Analyst,Police Department,16,100943.18
Traffic Engineer,Environmental Control Board,36,123722.9
HR Specialist,Department of Social Services,38,108523.54
Firefighter,Department of Recreation,27,98324.04
Administrative Officer,Department of Education,34,92263.55
Firefighter,Department of Aging,17,86440.01
Correctional Officer,City Council,13,72176.96
IT Specialist,Fire Department,34,121020.3
Police Officer,Department of Aging,6,71190.86
Sanitation Worker,Department of Housing,12,66247.09
Project Manager,Baltimore City Courts,17,113663.22
Librarian,City Council,36,96530.51
Social Worker,Department of Aging,12,65944.39
Administrative Officer,Department of Recreation,35,94854.93
Engineer,Public Works,30,117914.27
Traffic Engineer,Office of the Mayor,1,70455.57
Legal Counsel,Planning Department,15,116783.95
Social Worker,Department of Aging,8,63616.53
Data Analyst,Department of Education,8,86584.52
Legal Counsel,IT Department,37,143888.31
Community Liaison,Department of Aging,10,60572.03
Police Officer,Police Department,21,87678.59
IT Specialist,IT Department,32,117725.76
Financial Analyst,Public Works,35,120601.99
Librarian,Department of Finance,22,79433.07
Financial Analyst,Baltimore City Courts,33,120479.01
Urban Planner,Baltimore City Courts,8,83078.19
Inspector,Fire Department,23,85818.29
HR Specialist,Police Department,7,73081.34
Firefighter,City Council,6,69450.44
Firefighter,Department of Education,35,102440.07
Inspector,Department of Aging,17,79323.7
Correctional Officer,Department of Aging,2,60155.43
Community Liaison,Environmental Control Board,27,81852.75
Administrative Officer,IT Department,5,61093.23
Public Health Nurse,Baltimore City Courts,20,91969.99
HR Specialist,IT Department,27,100413.78
Project Manager,Environmental Control Board,39,137090.48
Budget Analyst,Department of Recreation,0,70488.46
Police Officer,IT Department,35,108033.15
IT Specialist,Department of Social Services,20,103776.89
Urban Planner,Health Department,34,110598.52
Urban Planner,Police Department,12,90422.86
Budget Analyst,Police Department,9,79741.48
Social Worker,Planning Department,9,68603.28
Data Analyst,Department of Social Services,12,91674.75
Public Health Nurse,Planning Department,36,115540.21
Legal Counsel,Department of Finance,37,137509.34
Community Liaison,Human Resources,23,77809.79
HR Specialist,Fire Department,1,69830.73
Engineer,Department of Aging,21,109392.95
IT Specialist,Public Works,16,97427.55
Community Liaison,Human Resources,35,93965.12
Librarian,Police Department,13,69506.98
Legal Counsel,Human Resources,9,104153.75
Traffic Engineer,Planning Department,34,110843.62
Administrative Officer,Office of the Mayor,24,81969.93
Inspector,Human Resources,2,64432.08
Correctional Officer,Office of the Mayor,37,100074.9
Inspector,Human Resources,16,79167.19
Budget Analyst,City Council,11,83227.55
Sanitation Worker,Health Department,23,69803.5
Urban Planner,Fire Department,28,106573.56
Police Officer,Public Works,24,95819.4
Police Officer,Department of Social Services,35,99889.24
HR Specialist,Health Department,25,95756.5
Firefighter,Public Works,37,102841.79
Librarian,Public Works,0,53825.33
IT Specialist,Fire Department,19,104942.96
Legal Counsel,Department of Aging,27,126884.16
Police Officer,Office of the Mayor,15,82491.0
Librarian,Human Resources,16,68780.91
Social Worker,Office of the Mayor,39,97763.25
Budget Analyst,City Council,27,109494.28
Engineer,Police Department,11,95604.79
Urban Planner,Department of Housing,26,110903.39
Librarian,Baltimore City Courts,29,84221.5
Inspector,Police Department,33,101175.57
Budget Analyst,Department of Recreation,36,111786.58
Financial Analyst,Department of Housing,5,89570.19
Budget Analyst,Baltimore City Courts,6,78223.24
HR Specialist,Police Department,31,101262.45
Correctional Officer,Environmental Control Board,31,97030.07
Financial Analyst,Environmental Control Board,24,109392.58
Community Liaison,Department of Transportation,32,84115.55
Budget Analyst,Department of Recreation,6,81483.92
Urban Planner,Public Works,11,84762.3
Librarian,City Council,15,71549.55
Librarian,Department of Transportation,15,72918.99
Social Worker,IT Department,35,95873.52
Data Analyst,Department of Social Services,12,95947.06
Police Officer,Department of Social Services,6,73645.35
Budget Analyst,Department of Education,35,111912.42
Administrative Officer,Fire Department,8,68804.29
Budget Analyst,Department of Social Services,31,105774.98
Data Analyst,Human Resources,10,88869.9
Firefighter,Department of Transportation,7,69781.06
Community Liaison,IT Department,32,90215.67
Administrative Officer,Planning Department,22,84746.3
Inspector,Fire Department,24,91958.37
Police Officer,Public Works,7,74071.24
Budget Analyst,Department of Recreation,21,96359.19
Legal Counsel,Department of Finance,3,93122.05
Data Analyst,Fire Department,39,120857.56
Librarian,Planning Department,2,59699.97
Librarian,Department of Finance,28,80091.78
Firefighter,Baltimore City Courts,28,93246.53
Correctional Officer,Department of Recreation,33,101033.82
Community Liaison,Health Department,33,90229.14
Urban Planner,Baltimore City Courts,27,110184.14
Traffic Engineer,City Council,12,92028.49
Engineer,Planning Department,14,106208.75
Police Officer,Public Works,22,92286.28
Police Officer,Department of Social Services,25,96990.34
Inspector,Department of Aging,3,61427.26
Project Manager,Department of Recreation,25,121759.0
Budget Analyst,City Council,39,117611.62
Urban Planner,Office of the Mayor,8,83240.68
Engineer,City Council,4,92484.17
Police Officer,Planning Department,31,104904.87
Police Officer,Baltimore City Courts,19,92865.33
IT Specialist,Baltimore City Courts,10,96869.79
Administrative Officer,Health Department,14,74551.95
Project Manager,City Council,31,122038.66
Urban Planner,Baltimore City Courts,27,112883.04
Legal Counsel,Health Department,21,122953.9
Urban Planner,Office of the Mayor,16,91902.42
Financial Analyst,Fire Department,25,114186.73
Firefighter,Department of Social Services,6,66088.2
Inspector,Health Department,25,91855.89
Traffic Engineer,Planning Department,24,100851.19
Engineer,Department of Social Services,9,93375.34
Correctional Officer,Baltimore City Courts,18,81729.79
IT Specialist,Department of Transportation,10,95218.66
Administrative Officer,IT Department,12,70376.31
Firefighter,Planning Department,7,69541.49
Inspector,Department of Education,39,100455.4
Sanitation Worker,Health Department,3,50972.94
Social Worker,Department of Aging,30,92600.46
Data Analyst,Fire Department,27,109449.7
Traffic Engineer,Environmental Control Board,10,87932.27
Legal Counsel,Office of the Mayor,0,94443.15
Project Manager,Health Department,37,133434.88
Data Analyst,City Council,23,105827.63
Data Analyst,Department of Housing,30,113181.92
Administrative Officer,Department of Recreation,25,89329.87
Budget Analyst,Department of Education,4,70180.74
Sanitation Worker,Department of Housing,19,69162.47
Engineer,Office of the Mayor,10,94389.23
Correctional Officer,Department of Housing,32,97057.33
Engineer,Environmental Control Board,37,129631.43
Librarian,Department of Education,26,88066.58
Data Analyst,Department of Education,33,123453.43
Traffic Engineer,Health Department,14,90480.75
Correctional Officer,Health Department,31,95201.5
Social Worker,Department of Housing,20,79588.91
Budget Analyst,Police Department,4,74406.56
Urban Planner,Department of Recreation,5,82885.15
Correctional Officer,Office of the Mayor,37,101681.48
Legal Counsel,Department of Education,21,116997.1
Engineer,Baltimore City Courts,17,104561.3
Sanitation Worker,Office of the Mayor,13,60606.98
Correctional Officer,Human Resources,9,71909.94
Correctional Officer,Human Resources,12,78104.68
Community Liaison,Baltimore City Courts,30,86734.46
Librarian,Department of Education,29,87133.83
Legal Counsel,Department of Education,2,97857.3
Inspector,IT Department,29,98346.7
Correctional Officer,Planning Department,5,67482.1
Data Analyst,Environmental Control Board,28,111253.04
Urban Planner,Department of Finance,7,84157.77
Sanitation Worker,Health Department,32,88357.94
Inspector,Department of Aging,16,75786.94
Urban Planner,Health Department,10,90637.82
Sanitation Worker,Department of Housing,12,67604.5
Social Worker,Department of Education,10,70495.1
Financial Analyst,Department of Aging,30,114263.22
Community Liaison,Health Department,27,76490.0
Inspector,Department of Education,5,68126.16
HR Specialist,Police Department,15,80719.43
Librarian,Department of Aging,3,56461.4
Budget Analyst,Department of Finance,34,117405.45
Engineer,Baltimore City Courts,25,113029.13
Urban Planner,Environmental Control Board,11,87067.34
Community Liaison,Department of Transportation,10,62830.17
Data Analyst,Department of Recreation,36,117307.47
Librarian,Fire Department,24,78526.43
Social Worker,Police Department,17,75474.57
Legal Counsel,Environmental Control Board,18,115698.64
Administrative Officer,Planning Department,22,83225.22
Social Worker,Department of Finance,37,107697.94
Financial Analyst,Baltimore City Courts,17,102697.42
Budget Analyst,Department of Transportation,25,99474.86
Engineer,Department of Housing,5,95254.72
Project Manager,City Council,3,88833.54
Project Manager,Department of Education,28,119433.28
Traffic Engineer,Human Resources,33,113814.69
HR Specialist,Department of Social Services,16,83351.34
Urban Planner,Office of the Mayor,15,91142.78
Sanitation Worker,Fire Department,1,49105.46
Administrative Officer,Department of Transportation,33,95424.23
Urban Planner,Department of Housing,7,86606.88
Correctional Officer,Department of Aging,12,72673.56
Public Health Nurse,Department of Transportation,7,76714.16
Social Worker,Department of Education,29,92843.94
Financial Analyst,Department of Housing,31,116746.85
Legal Counsel,Human Resources,35,132102.19
IT Specialist,Environmental Control Board,29,118417.87
Administrative Officer,City Council,0,58425.56
Sanitation Worker,Department of Housing,38,91223.1
Traffic Engineer,Department of Social Services,16,94002.7
Firefighter,Health Department,19,82049.22
Budget Analyst,Public Works,23,100579.87
Budget Analyst,Department of Education,21,102396.15
Public Health Nurse,Department of Housing,28,105708.65
Inspector,Office of the Mayor,21,88307.17
IT Specialist,Department of Social Services,8,92059.18
Librarian,Health Department,36,95199.64
Legal Counsel,IT Department,9,109050.02
Police Officer,Department of Finance,35,109235.09
Community Liaison,Police Department,36,97518.34
Correctional Officer,Health Department,27,89021.35
Social Worker,Department of Transportation,27,82185.67
Legal Counsel,Human Resources,20,122135.75
Data Analyst,IT Department,23,106649.31
Data Analyst,Police Department,39,123911.86
Public Health Nurse,Public Works,1,70479.54
Inspector,Human Resources,7,76064.06
Urban Planner,Department of Housing,26,104273.42
Social Worker,Health Department,21,77640.09
Administrative Officer,Office of the Mayor,36,98455.85
Inspector,Environmental Control Board,26,94741.47
Social Worker,Fire Department,28,95435.21
Engineer,Department of Finance,2,89372.09
Legal Counsel,Department of Recreation,12,105588.77
Legal Counsel,IT Department,9,111712.59
Traffic Engineer,Public Works,35,117941.59
Community Liaison,IT Department,8,57086.87
IT Specialist,Department of Aging,26,107961.82
Sanitation Worker,Department of Transportation,33,90108.99
Social Worker,Department of Recreation,0,55716.49
Police Officer,Department of Transportation,31,103235.23
Engineer,Public Works,24,117659.51
Legal Counsel,Fire Department,28,126193.54
Correctional Officer,Department of Recreation,6,69298.46
Police Officer,Fire Department,2,65842.53
Public Health Nurse,Public Works,19,99292.02
Public Health Nurse,Environmental Control Board,19,94596.22
Urban Planner,Department of Transportation,29,107039.28
Legal Counsel,Fire Department,34,129723.75
Legal Counsel,IT Department,34,138226.77
HR Specialist,Department of Recreation,38,109477.46
Librarian,Health Department,26,82733.3
Project Manager,Department of Finance,25,122298.59
Budget Analyst,Office of the Mayor,13,90631.24
Data Analyst,Baltimore City Courts,16,100871.13
Engineer,Planning Department,17,101875.48
Inspector,Department of Education,28,97877.68
Community Liaison,Planning Department,19,71062.86
Traffic Engineer,Department of Recreation,26,100431.25
HR Specialist,Environmental Control Board,17,81864.68
Sanitation Worker,Planning Department,3,52254.08
Correctional Officer,Department of Recreation,0,55063.56
Financial Analyst,IT Department,0,81735.87
HR Specialist,Department of Transportation,25,96014.76
Police Officer,Planning Department,19,87255.84
Engineer,Office of the Mayor,22,109916.94
Librarian,IT Department,9,59047.91
Project Manager,Department of Finance,10,102065.83
Urban Planner,IT Department,4,73605.13
Administrative Officer,Department of Recreation,0,52942.01
Librarian,Police Department,16,68416.65
IT Specialist,Public Works,21,104481.87
Public Health Nurse,Department of Aging,33,108960.01
Urban Planner,IT Department,28,111479.87
IT Specialist,Department of Housing,3,88350.43
Data Analyst,Police Department,4,79446.66
IT Specialist,Planning Department,10,97978.5
Traffic Engineer,Department of Recreation,20,97662.11
Budget Analyst,Public Works,34,113317.58
Sanitation Worker,Fire Department,11,62732.59
Data Analyst,Department of Social Services,25,115333.75
Correctional Officer,Health Department,18,77973.15
Sanitation Worker,Police Department,6,49809.79
Police Officer,Department of Aging,6,76671.14
Community Liaison,Office of the Mayor,25,77499.88
Legal Counsel,Fire Department,39,140715.23
Librarian,Human Resources,4,53446.75
Legal Counsel,Fire Department,20,117923.89
Financial Analyst,Human Resources,13,95078.83
Engineer,Police Department,3,90629.33
Public Health Nurse,City Council,22,96642.37
Traffic Engineer,Department of Transportation,19,96756.83
Inspector,Health Department,14,79787.62
Budget Analyst,Department of Aging,28,106364.99
HR Specialist,Public Works,7,67861.86
Firefighter,Department of Transportation,18,86359.11
Administrative Officer,City Council,38,101154.6
Traffic Engineer,Baltimore City Courts,27,112572.2
Legal Counsel,Department of Finance,26,126571.75
Budget Analyst,Department of Education,3,73224.87
Police Officer,Department of Recreation,14,81187.11
Police Officer,Baltimore City Courts,34,108211.76
Traffic Engineer,Environmental Control Board,36,116887.79
HR Specialist,Department of Education,0,63679.11
Correctional Officer,Public Works,2,59734.93
Project Manager,Department of Aging,23,114151.89
Correctional Officer,Office of the Mayor,26,86931.03
Legal Counsel,Department of Transportation,39,142317.65
Police Officer,Department of Education,35,110607.43
Firefighter,Department of Social Services,33,102551.44
Sanitation Worker,Public Works,28,81462.42
Engineer,Department of Transportation,23,110106.19
Police Officer,Planning Department,23,95885.48
Librarian,Department of Housing,3,56900.52
Public Health Nurse,Department of Social Services,2,70279.81
Correctional Officer,Human Resources,33,100295.95
Budget Analyst,Baltimore City Courts,22,100078.73
Budget Analyst,Department of Transportation,22,95959.41
Public Health Nurse,Fire Department,4,74495.87
Engineer,Fire Department,30,119521.68
Budget Analyst,Department of Transportation,5,85900.61
Budget Analyst,Department of Aging,36,116795.23
Administrative Officer,Department of Social Services,9,66360.29
Administrative Officer,Department of Aging,39,103217.99
Inspector,Department of Education,6,71337.49
Correctional Officer,Fire Department,38,103349.86
Financial Analyst,Police Department,37,124630.27
Sanitation Worker,Health Department,20,74532.85
Financial Analyst,Department of Social Services,19,104275.17
Police Officer,Police Department,2,64190.31
Inspector,Department of Social Services,21,81405.94
Legal Counsel,Planning Department,3,103187.89
Legal Counsel,Department of Social Services,27,127794.93
Data Analyst,Department of Transportation,11,89431.3
Police Officer,Department of Transportation,37,108697.0
Correctional Officer,Human Resources,35,102422.33
IT Specialist,Public Works,4,83919.78
Firefighter,Office of the Mayor,12,72051.74
IT Specialist,Fire Department,22,107377.52
Social Worker,IT Department,29,93425.04
Firefighter,Fire Department,36,108624.39
Engineer,Health Department,24,112122.01
Traffic Engineer,Baltimore City Courts,26,111007.52
Urban Planner,Health Department,13,91238.85
Police Officer,Office of the Mayor,35,110723.44
Urban Planner,Department of Recreation,38,122321.06
Budget Analyst,Office of the Mayor,15,85435.21
Correctional Officer,Department of Social Services,21,88440.22
Librarian,Department of Aging,20,76155.35
HR Specialist,Public Works,20,90730.38
HR Specialist,City Council,7,69367.87
Budget Analyst,Fire Department,15,91515.98
Financial Analyst,Department of Finance,30,121308.78
Firefighter,Fire Department,9,78605.96
Project Manager,Department of Education,31,131401.2
Inspector,Fire Department,33,101262.67
Social Worker,City Council,8,59966.87
Public Health Nurse,Department of Aging,16,89596.82
Firefighter,Baltimore City Courts,10,72222.47
Public Health Nurse,Human Resources,31,107904.93
Traffic Engineer,Human Resources,9,83151.02
Firefighter,Department of Transportation,21,86569.5
Traffic Engineer,Human Resources,16,93648.45
HR Specialist,Department of Social Services,3,66955.5
Inspector,Department of Housing,24,87185.29
Firefighter,Planning Department,20,85592.44
Community Liaison,Planning Department,36,94058.58
Public Health Nurse,Police Department,37,106904.52
Police Officer,Health Department,0,57870.7
